Paper,Paper title,DOI / paper link,Arm ID,LNP name,Chemical formulation (total),LNP molar ratio,Ionizable lipid,Helper lipid,Cholesterol,PEG lipid,Others,Target / recipient organ,Intended target cell,Observed transfected cell,Legacy cell label,Species,Biological model,Payload,Encoded product,Molecular target,Dose,Route,Timepoint,Assay,Outcomes,General use,Nearest neighbor,COMET,COMET blockers,Missing fields,Automatic-resolution issues
PILOT-001,Ligand-tethered lipid nanoparticles for targeted RNA delivery to treat liver fibrosis,https://doi.org/10.1038/s41467-022-35637-z,41,AA-T3A-C12 lipid nanoparticle (LNP),AA-T3A-C12 anisamide-tethered ionizable lipidoid-DSPC-cholesterol-C14-PEG2000,50:10:38.5:1.5,AA-T3A-C12 anisamide-tethered ionizable lipidoid,DSPC,cholesterol,C14-PEG2000,anisamide head; four epoxide C12 tails bound by the T3A core,NA,activated 3T3-GFP cells,activated 3T3-GFP cells,other,murine,activated 3T3-GFP fibroblast screening model,GFP siRNA (siGFP),NA,screening/reporter silencing payload,50 nM siGFP,in vitro cell treatment,48 h post-treatment,plate reader GFP fluorescence assay; CellTiter-Glo Luminescent Cell Viability Assay,"GFP silencing/knockdown efficiency: >80% GFP silencing after 50 nM AA-T3A-C12/siGFP LNP treatment for 48 h. · qualitative_only
cytotoxicity/cell viability: No noticeable cytotoxicity was reported after 50 nM treatment for 48 h. · qualitative_only",Ready,Ready,Not ready,"coherent_outcome, manually_verified, normalization_basis",None,None
PILOT-001,Ligand-tethered lipid nanoparticles for targeted RNA delivery to treat liver fibrosis,https://doi.org/10.1038/s41467-022-35637-z,42,AA-T3A-C12 lipid nanoparticle (LNP),AA-T3A-C12 anisamide-tethered ionizable lipidoid-DSPC-cholesterol-C14-PEG2000,50:10:38.5:1.5,AA-T3A-C12 anisamide-tethered ionizable lipidoid,DSPC,cholesterol,C14-PEG2000,anisamide head; four epoxide C12 tails bound by the T3A core,NA,activated 3T3-GFP cells,activated 3T3-GFP cells,other,murine,activated 3T3-GFP fibroblast uptake model,Cy5-siRNA,NA,fluorescent biodistribution and uptake cargo,50 nM Cy5-siRNA,in vitro cell treatment,6 h post-treatment,flow cytometry,"cellular uptake of AA-T3A-C12 LNP: Cellular uptake was dramatically reduced after haloperidol treatment (p < 0.001). · qualitative_only
cellular uptake of AA-T3A-C12 LNP: Cellular uptake was greater in TGF-β-stimulated 3T3 fibroblasts than in non-stimulated 3T3 fibroblasts (p < 0.001). · qualitative_only",Ready,Ready,Not ready,"coherent_outcome, manually_verified, normalization_basis, outcome_unit",None,None
PILOT-001,Ligand-tethered lipid nanoparticles for targeted RNA delivery to treat liver fibrosis,https://doi.org/10.1038/s41467-022-35637-z,43,AA-T3A-C12 lipid nanoparticle (LNP),AA-T3A-C12 anisamide-tethered ionizable lipidoid-DSPC-cholesterol-C14-PEG2000,50:10:38.5:1.5,AA-T3A-C12 anisamide-tethered ionizable lipidoid,DSPC,cholesterol,C14-PEG2000,anisamide head; four epoxide C12 tails bound by the T3A core,NA,activated 3T3-GFP cells or H2.35 cells,activated 3T3-GFP cells or H2.35 cells,other,murine,activated 3T3-GFP or H2.35 cell transfection assay,luciferase mRNA,NA,mRNA transfection payload,15 ng luciferase mRNA per well,in vitro cell treatment,24 h post-treatment,Luciferase Reporter 1000 Assay System,"luciferase expression in fibroblasts: 2.6 fold higher expression · reported
luciferase expression in hepatocytes: 1.4 fold lower expression · reported",Ready,Ready,Not ready,"coherent_outcome, manually_verified, normalization_basis",None,None
PILOT-001,Ligand-tethered lipid nanoparticles for targeted RNA delivery to treat liver fibrosis,https://doi.org/10.1038/s41467-022-35637-z,44,AA-T3A-C12 lipid nanoparticle (LNP),AA-T3A-C12 anisamide-tethered ionizable lipidoid-DSPC-cholesterol-C14-PEG2000,50:10:38.5:1.5,AA-T3A-C12 anisamide-tethered ionizable lipidoid,DSPC,cholesterol,C14-PEG2000,anisamide head; four epoxide C12 tails bound by the T3A core,liver,NA,activated HSCs assessed by α-SMA staining,hsc,Balb/c male mouse,CCl4-induced fibrotic mouse,Cy5-siRNA,NA,fluorescent biodistribution and uptake cargo,5 μg Cy5-siRNA per mouse,intravenous injection,1 h post-injection,ex vivo fluorescence imaging and signal quantification of major organs; confocal immunofluorescence imaging of liver cryosections stained for α-SMA,"organ biodistribution and liver accumulation: 0.443 p value · reported
LNP colocalization with or proximity to activated HSCs: More AA-T3A-C12 LNP colocalized with or were close to activated HSCs than MC3 LNP. · qualitative_only",Ready,Ready,Not ready,"coherent_outcome, manually_verified, normalization_basis",None,None
PILOT-001,Ligand-tethered lipid nanoparticles for targeted RNA delivery to treat liver fibrosis,https://doi.org/10.1038/s41467-022-35637-z,45,AA-T3A-C12 lipid nanoparticle (LNP),AA-T3A-C12 anisamide-tethered ionizable lipidoid-DSPC-cholesterol-C14-PEG2000,50:10:38.5:1.5,AA-T3A-C12 anisamide-tethered ionizable lipidoid,DSPC,cholesterol,C14-PEG2000,anisamide head; four epoxide C12 tails bound by the T3A core,liver,NA,activated HSCs,hsc,mouse,CCl4-induced liver-fibrosis mouse therapeutic study,HSP47 siRNA (siHSP47),NA,therapeutic HSP47-silencing RNA payload,5 μg siRNA per mouse,intravenous administration,2 weeks of twice-weekly LNP treatment,Western blot analysis of liver lysates; Picrosirius red staining with morphometric quantification,"HSP47 knockdown: 65 % knockdown · reported
HSP47 knockdown relative to MC3/siHSP47 LNP: AA-T3A-C12/siHSP47 LNP achieved greater than two-fold more potent HSP47 knockdown than MC3/siHSP47 LNP. · qualitative_only
Collagen deposition and liver fibrosis: AA-T3A-C12/siHSP47 LNP significantly decreased collagen deposition more than MC3/siHSP47 LNP (p < 0.001). · qualitative_only",Ready,Ready,Not ready,"coherent_outcome, manually_verified, normalization_basis",None,None
PILOT-002,Engineered ionizable lipid nanoparticles for targeted delivery of RNA therapeutics into different types of cells in the liver,https://doi.org/10.1126/sciadv.abf4398,46,mRNA-loaded ionizable LNP,Ionizable lipid-DOPE-Cholesterol-PEG-lipid,26.5:20:52:1.5,Ionizable lipid,DOPE,Cholesterol,PEG-lipid,NA,NA,HeLa cells,HeLa cells,other,Human,HeLa cells,mRNA encoding firefly luciferase (mFLuc),NA,Reporter mRNA,0.25 μg/ml mRNA,Cell treatment,6 hours,Bright-Glo luciferase luminescence assay; Luciferase luminescence assay,"Relative firefly luciferase expression: At 6 hours after LNP treatment, cells were lysed and relative luciferase intensity was evaluated. · qualitative_only
Firefly luciferase expression: 246C10 LNPs showed the highest luminescent expression among the substantially expressing 244C10, 245C10, and 246C10 LNPs. · qualitative_only
Firefly luciferase expression after ApoE preincubation in serum-free medium: 400 fold increase · reported
Luciferase expression after anti-LDLR antibody pretreatment: Anti-LDLR antibody pretreatment decreased luciferase expression in 246C10 LNP-treated HeLa cells. · qualitative_only",Ready,Ready,Not ready,"coherent_outcome, manually_verified, normalization_basis",None,None
PILOT-002,Engineered ionizable lipid nanoparticles for targeted delivery of RNA therapeutics into different types of cells in the liver,https://doi.org/10.1126/sciadv.abf4398,47,mRNA-loaded ionizable LNP,Ionizable lipid-DOPE-Cholesterol-PEG-lipid,26.5:20:52:1.5,Ionizable lipid,DOPE,Cholesterol,PEG-lipid,NA,Liver,NA,Liver cells,other,C57BL/6 mouse,C57BL/6 mice,mRNA encoding firefly luciferase (mFLuc),NA,Reporter mRNA,0.1 mg/kg mRNA,Intravenous,3 hours,Whole-body and ex vivo organ bioluminescence imaging by IVIS; Live-animal and ex vivo organ luminescence imaging,"Luciferase expression at 3 hours after injection: 244C10- to 246C10-formulated LNPs resulted in potent luciferase expression. · qualitative_only
Organ distribution of mFLuc expression: 244C10, 245C10, and 246C10 LNPs mediated liver-specific delivery and expression of mFLuc. · qualitative_only
Liver luciferase expression: 246C10 LNPs showed the highest luciferase expression in the liver. · qualitative_only",Ready,Ready,Not ready,"coherent_outcome, manually_verified, normalization_basis, outcome_unit",None,None
PILOT-002,Engineered ionizable lipid nanoparticles for targeted delivery of RNA therapeutics into different types of cells in the liver,https://doi.org/10.1126/sciadv.abf4398,48,PEG-lipid-tuned mCre-loaded LNP,PEG-lipid-Cholesterol,NA,NA,NA,Cholesterol,PEG-lipid,NA,Liver,NA,"Hepatocytes, LSECs, and Kupffer cells",other,Mouse,LSL-tdTomato mice,Cre mRNA (mCre),NA,Gene-editing readout payload in LSL-tdTomato mice,0.5 mg/kg,Intravenous,2 days,Ex vivo organ fluorescence imaging; Liver-tissue histology; Histological analysis using MetaMorph image software,"tdTomato fluorescence distribution: Robust tdTomato fluorescence was detected exclusively in the liver. · qualitative_only
Hepatocyte tdTomato fluorescence: Strong tdTomato fluorescence was detected in hepatocytes compared with PBS-injected mice. · qualitative_only
tdTomato-positive hepatocytes: 80 % · reported
tdTomato-positive endothelial cells (LSECs): 40 % · reported
tdTomato-positive Kupffer cells: 10 % · reported",Not ready,Not ready,Not ready,"coherent_outcome, lnp_molar_ratio, manually_verified, normalization_basis",lnp_molar_ratio,None
PILOT-002,Engineered ionizable lipid nanoparticles for targeted delivery of RNA therapeutics into different types of cells in the liver,https://doi.org/10.1126/sciadv.abf4398,49,Mannose-PEG-lipid-incorporated LNP,Mannose-PEG lipid-PEG-lipid,NA,NA,NA,NA,Mannose-PEG lipid; PEG-lipid,NA,Liver,NA,LSECs,lsec,Mouse,LSL-tdTomato mice,Cre mRNA (mCre),NA,Gene-editing readout payload in LSL-tdTomato mice,0.5 mg/kg mRNA,Injected,2 days,Ex vivo organ imaging; Liver-section histological analysis with MetaMorph image software,"tdTomato fluorescence distribution: LNPs with mannose were mostly taken up into the liver. · qualitative_only
tdTomato-positive LSECs: 70 % · reported
tdTomato-positive hepatocytes: 15 % · reported
tdTomato-positive Kupffer cells: 15 % · reported",Not ready,Not ready,Not ready,"coherent_outcome, lnp_molar_ratio, manually_verified, normalization_basis",lnp_molar_ratio,None
PILOT-002,Engineered ionizable lipid nanoparticles for targeted delivery of RNA therapeutics into different types of cells in the liver,https://doi.org/10.1126/sciadv.abf4398,50,Mannose-PEG-lipid-incorporated LNP,Mannose-PEG lipid-PEG-lipid,NA,NA,NA,NA,Mannose-PEG lipid; PEG-lipid,NA,NA,NA,LSECs,lsec,C57BL/6 mouse,C57BL/6 mice,siRNA against FVIII (siFVIII),NA,Gene-silencing payload,0.5 mg/kg,Injected,2 days,NA,"Serum FVIII protein level / FVIII inhibition in LSECs: Adding mannose-PEG lipid to LNPs with 3.0% total PEG-lipid produced more enhanced FVIII inhibition in LSECs than LNPs with PEG-lipid only. · qualitative_only
Serum FVIII protein level / FVIII inhibition in LSECs: For LNPs with 1.5% total PEG-lipid, mannose incorporation was less significant for FVIII inhibition. · qualitative_only",Not ready,Not ready,Not ready,"assay, coherent_outcome, delivery_destination, lnp_molar_ratio, manually_verified, normalization_basis, outcome_unit","delivery_destination, lnp_molar_ratio",None
PILOT-003,Lipid-encapsulated siRNA for hepatocyte-directed treatment of advanced liver disease,https://doi.org/10.1038/s41419-020-2571-4,51,KL-52-containing lipid nanoparticle (LNP),"KL-52 cationic aminolipid-1,2-distearoyl-3-phosphatidylcholine (DSPC)-cholesterol-PEG-c-DOMG",50:10:38.5:1.5,KL-52 cationic aminolipid,"1,2-distearoyl-3-phosphatidylcholine (DSPC)",cholesterol,PEG-c-DOMG,NA,liver,NA,hepatocytes,hepatocyte,C57BL6J mice,in-vivo tissue-specificity study,siRNA directed against Jnk2 (siJnk2; selected set 3 for in-vivo LNP experiments),NA,Jnk2 knockdown payload,0.2 mg/kg body weight,intravenous injection,6 h,Quantitative RT-PCR,"Jnk2 mRNA expression in liver: siRNA-Jnk2 LNP set 3 significantly downregulated Jnk2 mRNA in the liver. · qualitative_only
Jnk2 mRNA expression in hepatocytes: siRNA-Jnk2 LNP set 3 was specifically active in hepatocytes and significantly reduced Jnk2 mRNA expression. · qualitative_only
Jnk2 mRNA expression in Kupffer cells and hepatic stellate cells: Jnk2 mRNA expression was not significantly reduced in Kupffer cells or hepatic stellate cells. · qualitative_only",Ready,Ready,Not ready,"coherent_outcome, manually_verified, normalization_basis, outcome_unit",None,None
PILOT-003,Lipid-encapsulated siRNA for hepatocyte-directed treatment of advanced liver disease,https://doi.org/10.1038/s41419-020-2571-4,52,KL-52-containing lipid nanoparticle (LNP),"KL-52 cationic aminolipid-1,2-distearoyl-3-phosphatidylcholine (DSPC)-cholesterol-PEG-c-DOMG",50:10:38.5:1.5,KL-52 cationic aminolipid,"1,2-distearoyl-3-phosphatidylcholine (DSPC)",cholesterol,PEG-c-DOMG,NA,liver,NA,hepatocytes,hepatocyte,WT mice,dose- and time-dependent Jnk2 expression study,siRNA directed against Jnk2 (siJnk2; selected set 3 for in-vivo LNP experiments),NA,Jnk2 knockdown payload,0.2 mg/kg mouse body weight,intravenous injection,168 h,Immunoblotting of whole liver extracts; mRNA expression analysis,"JNK2 protein expression: Almost undetectable JNK2 protein expression after 168 h following a single 0.2 mg/kg siJnk2-LNP injection. · qualitative_only
Jnk2 mRNA expression: mRNA expression levels showed an increase compared with the earlier timepoint. · qualitative_only",Ready,Ready,Not ready,"coherent_outcome, manually_verified, normalization_basis, outcome_unit",None,None
PILOT-003,Lipid-encapsulated siRNA for hepatocyte-directed treatment of advanced liver disease,https://doi.org/10.1038/s41419-020-2571-4,53,KL-52-containing lipid nanoparticle (LNP),"KL-52 cationic aminolipid-1,2-distearoyl-3-phosphatidylcholine (DSPC)-cholesterol-PEG-c-DOMG",50:10:38.5:1.5,KL-52 cationic aminolipid,"1,2-distearoyl-3-phosphatidylcholine (DSPC)",cholesterol,PEG-c-DOMG,NA,liver,NA,hepatocytes,hepatocyte,male mice,8-week-old NEMOΔHepa mice at an early stage of liver disease,siRNA directed against Jnk2 (siJnk2; selected set 3 for in-vivo LNP experiments),NA,Jnk2 knockdown payload,0.2 mg/kg,weekly injection,4 weeks of treatment,"FMT/μCT imaging with duramycin-NIR790; Histopathological analysis; Liver injury-marker assessment; Liver-to-body-weight ratio assessment; Western blot, immunohistochemistry, and caspase-3 activity assay; PCNA protein/mRNA analysis and Ki67 immunofluorescence","Liver accumulation of duramycin-NIR790, a biomarker of apoptotic cell death: Duramycin-NIR790 binding in apoptotic cells was markedly increased. · qualitative_only
Liver parenchymal morphology and immune-cell infiltration: siJnk2-LNP treatment was associated with parenchymal-cell dysplasia, hypertrophy, anisokaryosis, increased fat deposition, and substantial immune-cell infiltration. · qualitative_only
Liver injury markers: Liver injury markers were significantly impaired after 28 days of siJnk2-LNP treatment. · qualitative_only
Liver/body weight ratio: Liver/body weight ratio decreased in 12-week-old NEMOΔHepa mice. · qualitative_only
Cleaved caspase-3 levels and caspase-3 activity: Cleaved caspase-3 levels and caspase-3 activity were increased, consistent with increased apoptosis. · qualitative_only
Cell proliferation and liver repair/regeneration markers: PCNA-positive parenchymal and non-parenchymal cells, PCNA protein/mRNA, and Ki67-positive non-parenchymal cells were significantly increased. · qualitative_only",Ready,Ready,Not ready,"coherent_outcome, manually_verified, normalization_basis, outcome_unit",None,None
PILOT-003,Lipid-encapsulated siRNA for hepatocyte-directed treatment of advanced liver disease,https://doi.org/10.1038/s41419-020-2571-4,54,KL-52-containing lipid nanoparticle (LNP),"KL-52 cationic aminolipid-1,2-distearoyl-3-phosphatidylcholine (DSPC)-cholesterol-PEG-c-DOMG",50:10:38.5:1.5,KL-52 cationic aminolipid,"1,2-distearoyl-3-phosphatidylcholine (DSPC)",cholesterol,PEG-c-DOMG,NA,liver,NA,hepatocytes,hepatocyte,male mice,44-week-old NEMOΔHepa mice with advanced liver tumors,siRNA directed against Jnk2 (siJnk2; selected set 3 for in-vivo LNP experiments),NA,Jnk2 knockdown payload,0.2 mg/kg,weekly injection,8 weeks of treatment,Liver histopathology and macroscopic analysis; μCT-FMT imaging and quantification using Duramycin-NIR790; Immunoblotting and quantitative RT-PCR,"Disease progression, liver architecture, HCCs, and premalignant dysplastic nodules: siJnk2-LNP treatment significantly reduced disease progression, improved hepatic parenchymal architecture, reduced well-differentiated HCCs, and reduced premalignant dysplastic nodules. · qualitative_only
Liver apoptotic cell death: siJnk2-LNP treatment reduced Duramycin signal and apoptotic cell death in NEMOΔHepa livers. · qualitative_only
JNK2/pJNK2 protein and Jnk2/survivin mRNA expression: siJnk2-LNP downregulated JNK2 and pJNK2 protein and reduced Jnk2 and survivin transcripts. · qualitative_only",Ready,Ready,Not ready,"coherent_outcome, manually_verified, normalization_basis, outcome_unit",None,None
PILOT-003,Lipid-encapsulated siRNA for hepatocyte-directed treatment of advanced liver disease,https://doi.org/10.1038/s41419-020-2571-4,55,KL-52-containing lipid nanoparticle (LNP),"KL-52 cationic aminolipid-1,2-distearoyl-3-phosphatidylcholine (DSPC)-cholesterol-PEG-c-DOMG",50:10:38.5:1.5,KL-52 cationic aminolipid,"1,2-distearoyl-3-phosphatidylcholine (DSPC)",cholesterol,PEG-c-DOMG,NA,NA,Hepa 1–6 mouse hepatoma cells,Hepa 1–6 mouse hepatoma cells,other,mouse,Hepa 1–6 cell-culture siRNA sequence screen,siRNA directed against Jnk2 (siJnk2; selected set 3 for in-vivo LNP experiments),NA,Jnk2 knockdown payload,1 nmol,Lipofectamine transfection,24 h,NA,NA,Not ready,Not ready,Not ready,"accepted_evidence, assay, manually_verified, outcome",outcome,outcome_link_unclear
